福利,工作标签,城市,学历,工作年限,薪资,公司名称
"['云计算', '大数据']",本科,北京,联智科技（北京）有限公司,1-3年,10k-15k,餐补 带薪年假 员工旅游 节日福利
[],本科,北京,仁科互动（北京）信息科技有限公司,5-10年,15k-25k,"硅谷大牛,行业标杆,外企文化,好领导"
"['产品测试', 'Web测试', '移动端']",本科,上海,迪卡侬（上海）体育用品有限公司,3-5年,18k-20k,"自由,健身房,发展机会,完善的培训"
"['移动互联网', '测试开发', 'Web测试']",本科,武汉,湖北华中电力科技开发有限责任公司,3-5年,6k-10k,"大平台,待遇好,环境优越,学习机会多"
[],本科,北京,蔷薇控股股份有限公司,3-5年,15k-30k,"股东背景强,薪资优渥,技术大牛多,工作环境好"
"['移动互联网', 'Web测试']",本科,深圳,深圳法大大网络科技有限公司,3-5年,10k-16k,"学习型组织,氛围好,高速发展,独角兽"
"['Web测试', '性能测试']",本科,深圳,深圳羚羊极速科技有限公司,3-5年,15k-20k,"周末双休,福利好,年度旅游,年轻团队"
"['Web测试', '脚本']",本科,上海,上海泛微网络科技股份有限公司,1-3年,10k-15k,"奖金绩效,免费三餐,团队旅游"
"['Android测试', 'IOS测试', '移动端']",大专,北京,北京千橡网景科技发展有限公司,3-5年,15k-25k,"领导好,弹性工作,氛围好"
[],本科,上海,上海诺诺镑客金融信息服务有限公司,3-5年,15k-25k,工资自己定、期权任性发、半年晋升
[],本科,深圳,Moody's Analytics,3-5年,18k-30k,"年终分红,额外保险,完善福利"
工作标签,学历,城市,公司名称,工作年限,薪资,福利
['白盒测试'],不限,南京,上海捷科智诚科技有限公司,不限,10k-20k,"五险一金,加班补贴,带薪年假,出差补贴"
['金融'],本科,杭州,上海海万信息科技股份有限公司,3-5年,8k-12k,"五险一金,员工旅游,员工体检,年底奖金"
['脚本'],本科,西安,上海中软华腾软件系统有限公司,3-5年,8k-12k,"带薪休假,五险一金,弹性工作制,班车"
"['电商', '移动端']",本科,上海,上海砸立电子商务有限公司,1-3年,10k-20k,"电商行业,潮流文化,领导nic,发展前景好"
[],大专,北京,北京轻松筹网络科技有限公司,3-5年,12k-20k,技术咖
"['教育', '大数据', '性能测试']",本科,北京,北京欧应信息技术有限公司,5-10年,15k-25k,"好老板,年轻团队,培训成长快,福利待遇佳"
[],本科,北京,北京智慧星光信息技术有限公司,3-5年,12k-20k,"五险一金,标准工时,行业火,领导好"
['移动端'],本科,北京,北京市商汤科技开发有限公司,5-10年,15k-30k,"人工智能,独角兽企业,技术大牛多,工作氛围好"
[],硕士,上海,瞬联软件科技（北京）有限公司,应届毕业生,10k-15k,"500强,六险一金,弹性工作制,漕河泾上班"
['脚本'],大专,杭州,杭州火烧云科技有限公司,3-5年,8k-15k,"前景大,福利佳,晋升快"
['软件测试'],本科,上海,上海画龙信息科技有限公司,3-5年,10k-20k,"硅谷团队,发15m,晋升平台,带薪假期"
['信息安全'],本科,北京,北京数字认证股份有限公司,5-10年,10k-20k,"国企福利,上市企业,15薪,周末双休"
"['智能硬件', '新零售', '脚本', '测试开发', '软件测试']",本科,上海,深兰科技（上海）有限公司,5-10年,20k-35k,技术驱动，扁平化管理，期权股份
['测试开发'],本科,上海,上海炽聚网络科技有限公司,3-5年,10k-20k,"五险一金,年底双薪"
"['Selenium', 'Jmeter']",本科,上海,上海大岂网络科技有限公司,5-10年,10k-20k,"B轮,移动互联网,技术氛围浓,超长年假"
工作标签,学历,城市,公司名称,工作年限,薪资,福利
['白盒测试'],不限,深圳,上海捷科智诚科技有限公司,不限,10k-20k,"五险一金,带薪年假,加班补贴,出差补贴"
